,gene,logFC,AveExpr,P.Value,FDR
PIP,PIP,-1.64844568886337,10.3888508490397,2.28032213571299e-31,2.90545287069531e-29
ANKRD30A,ANKRD30A,-1.08493625420256,9.79576321041785,2.63501640995796e-16,8.93497231054025e-15
LTF,LTF,-1.02979393277391,7.601622830401,4.90228825465576e-26,4.09519629431972e-24
LOC646360,LOC646360,-0.895108538015262,8.40543030914552,2.67204898744795e-18,1.12538316953818e-16
SQLE,SQLE,0.881118788500974,8.66001867870309,1.16187179244813e-97,1.95411343865875e-94
UBE2C,UBE2C,0.858919967984074,9.10557015055756,8.36734151534392e-47,2.09001278959501e-44
LAPTM4B,LAPTM4B,0.834438543405102,10.1729021447971,4.97443617429744e-53,1.5119888651226e-50
LOC644151,LOC644151,-0.816722020627368,7.80586797268769,2.00980981160857e-24,1.4363592613955e-22
MAL2,MAL2,0.770723680139817,9.48694607645896,2.9433418100593e-62,1.16022854975275e-59
TCN1,TCN1,-0.746869615143293,7.04617997044153,4.10894279505966e-13,9.08504897754296e-12
NAT1,NAT1,-0.730288549658197,8.46240895693055,9.16076229193913e-15,2.57932713282411e-13
NOSTRIN,NOSTRIN,-0.726007791495831,8.07729265863431,3.00747245600678e-42,6.32270959334492e-40
TFF1,TFF1,-0.723488495185667,9.0397919745633,7.69074402319708e-08,7.36047383221609e-07
SCUBE2,SCUBE2,-0.722122481927046,8.65469257482852,2.08135860306626e-13,4.8484316563394e-12
CDC20,CDC20,0.717082097906113,8.85917434580413,5.88757402945346e-35,9.64491672825012e-33
SCGB3A1,SCGB3A1,-0.701578751908053,7.12773665685602,1.22444370927737e-14,3.39826907564901e-13
BOP1,BOP1,0.700560994409456,9.49405011271898,4.18893033839114e-86,3.64408050265281e-83
ATAD2,ATAD2,0.691923315235659,7.23779473847656,4.69168283873375e-90,4.55237594829135e-87
MUCL1,MUCL1,-0.687689322209147,9.16545465849464,2.72769415031857e-06,1.97571828952733e-05
SLC7A5,SLC7A5,0.686376938019751,8.32494363489518,3.51273487636787e-27,3.21084331380466e-25
CDCA5,CDCA5,0.668484036186414,8.37886079364871,2.17292227704564e-43,4.76682462654847e-41
DACH1,DACH1,-0.664233986631282,7.9008686191764,1.01657553725641e-21,5.99209524623943e-20
FAM83H,FAM83H,0.658401485141016,8.96822592035903,1.15520480502932e-65,5.11289593355782e-63
GPR172A,GPR172A,0.658221891136992,9.17676548287252,3.61173258001633e-95,4.5558394764326e-92
SLC39A4,SLC39A4,0.65760371287668,7.1576384788404,6.2503141185375e-78,3.66704475773172e-75
