,pathway,pval,padj,log2err,ES,NES,size
1,REACTOME_DNA_REPLICATION,3.0680447027721e-13,2.70601542784499e-10,0.932595211336209,0.753746699998385,2.24418110747736,118
2,WP_RETINOBLASTOMA_GENE_IN_CANCER,3.16094646985194e-12,1.39397739320471e-09,0.898671232061694,0.789088199893387,2.25457979124665,83
3,REACTOME_SYNTHESIS_OF_DNA,5.05405274340082e-12,1.48589150655984e-09,0.887074988399873,0.749616549264805,2.20328302687683,107
4,REACTOME_MITOTIC_G1_PHASE_AND_G1_S_TRANSITION,9.53031172693939e-11,2.10143373579013e-08,0.839088935621274,0.687373541411681,2.07010936556112,139
5,REACTOME_G2_M_CHECKPOINTS,2.89529804135542e-10,5.10730574495097e-08,0.814035837847908,0.712228166271747,2.11929065701249,117
6,REACTOME_MITOTIC_SPINDLE_CHECKPOINT,5.25857433706218e-10,6.62580366469834e-08,0.801215574617779,0.727740692760281,2.11908043448858,100
7,REACTOME_RESOLUTION_OF_SISTER_CHROMATID_COHESION,4.82470361034356e-10,6.62580366469834e-08,0.801215574617779,0.712603955421194,2.11268704892702,111
8,KEGG_CELL_CYCLE,6.40766850860618e-10,7.06445453073831e-08,0.801215574617779,0.707925695234502,2.10154579446504,114
9,WP_CELL_CYCLE,1.21254940871468e-09,1.18829842054038e-07,0.788186810800237,0.70677569830071,2.09210413825078,110
10,REACTOME_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS,5.94658187978771e-09,5.24488521797276e-07,0.761460801445585,0.737087527165018,2.1071394884647,82
11,REACTOME_SWITCHING_OF_ORIGINS_TO_A_POST_REPLICATIVE_STATE,1.10149874906466e-08,8.83201724250031e-07,0.747739663149885,0.738445692313269,2.10193113804835,80
12,REACTOME_DNA_REPLICATION_PRE_INITIATION,1.35629370191415e-08,9.96875870906901e-07,0.747739663149885,0.741789554484864,2.10846936872272,79
13,REACTOME_RHO_GTPASES_ACTIVATE_FORMINS,1.91221731156204e-08,1.20469690628409e-06,0.73376198835648,0.659336421004559,1.97339819334009,125
14,REACTOME_TRNA_PROCESSING,1.78375693615227e-08,1.20469690628409e-06,0.73376198835648,0.713381577299729,2.0489193426374,88
15,KEGG_DRUG_METABOLISM_CYTOCHROME_P450,7.60154338872662e-08,4.46970751257125e-06,0.704975715167238,-0.740756881050759,-2.066095139672,72
16,REACTOME_CHROMOSOME_MAINTENANCE,1.90951183934068e-07,1.05261840143655e-05,0.690132458796796,0.723632775688365,2.05024122891641,76
17,REACTOME_ORC1_REMOVAL_FROM_CHROMATIN,3.58796912977555e-07,1.86152280733061e-05,0.674962860011025,0.74906228526766,2.04348803947755,62
18,REACTOME_APC_C_CDH1_MEDIATED_DEGRADATION_OF_CDC20_AND_OTHER_APC_C_CDH1_TARGETED_PROTEINS_IN_LATE_MITOSIS_EARLY_G1,4.02169146002623e-07,1.90437906676443e-05,0.674962860011025,0.723058265191186,2.01598135032432,70
19,REACTOME_HOST_INTERACTIONS_OF_HIV_FACTORS,4.1024038853202e-07,1.90437906676443e-05,0.674962860011025,0.642713013856125,1.91728624374081,120
20,PID_PLK1_PATHWAY,8.03316281397089e-07,3.54262480096116e-05,0.659444398037935,0.809526878184815,2.04921532150642,40
21,KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450,1.11426262064389e-06,4.54509078488948e-05,0.643551836150722,-0.706901041086558,-1.95899604889477,70
22,REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR,1.13369611414477e-06,4.54509078488948e-05,0.643551836150722,0.636439229370635,1.89360044854004,115
23,PID_MYC_ACTIV_PATHWAY,1.2425629583048e-06,4.76495882271666e-05,0.643551836150722,0.695260543299409,1.97379878715148,78
24,WP_METABOLIC_REPROGRAMMING_IN_COLON_CANCER,1.73808389250317e-06,6.38745830494917e-05,0.643551836150722,0.798927512442739,2.02238436226067,40
25,REACTOME_MITOCHONDRIAL_TRANSLATION,3.50295523606455e-06,0.000123584260728357,0.627256739718528,0.665056355742451,1.91903434489433,92
26,REACTOME_CYCLIN_A_CDK2_ASSOCIATED_EVENTS_AT_S_PHASE_ENTRY,6.20790272871763e-06,0.000210591161797267,0.610526878385931,0.675011886372395,1.92864138390626,83
27,PID_ATR_PATHWAY,6.78034195571043e-06,0.000221491170553208,0.610526878385931,0.802693411507576,2.01211643706487,38
28,REACTOME_METABOLISM_OF_POLYAMINES,8.07557509412748e-06,0.000254380615465016,0.593325476396405,0.739549718958443,1.96038913323019,55
29,REACTOME_HOMOLOGY_DIRECTED_REPAIR,1.00491635444496e-05,0.00029641846124754,0.593325476396405,0.646656657245805,1.86107507866489,89
30,REACTOME_TRNA_PROCESSING_IN_THE_NUCLEUS,1.0082260586651e-05,0.00029641846124754,0.593325476396405,0.740035937918245,1.94441185051487,51
31,REACTOME_ECM_PROTEOGLYCANS,1.20251702459547e-05,0.000338320181354419,0.593325476396405,-0.680069507839487,-1.90121139869795,74
32,REACTOME_SUMOYLATION_OF_DNA_REPLICATION_PROTEINS,1.22746551058293e-05,0.000338320181354419,0.593325476396405,0.781350942951807,1.98172747170437,41
33,KEGG_DNA_REPLICATION,1.53417689166203e-05,0.000405181955793288,0.575610261071129,0.791032094220645,1.9479673151488,35
34,NABA_BASEMENT_MEMBRANES,1.56192590668614e-05,0.000405181955793288,0.575610261071129,-0.776372318462324,-1.93883190995344,38
