,gene,logFC,logCPM,LR,PValue,FDR
1,LIPF,7.1550198657626,3.1226143412288,128.190919742322,1.01948932074587e-29,2.12631489330229e-26
2,DEFA5,6.55339083858319,3.7306113497104,52.974275186232,3.37945497881028e-13,7.29146544910893e-11
3,MYL2,-5.95218957569235,5.44809011759968,34.8623725792079,3.53853731578235e-09,2.19214138463863e-07
4,CSRP3,-5.94488382881383,2.49799132243705,19.2834789140791,1.12677119698227e-05,0.00020735904057406
5,MYH7,-5.93411893872379,6.69856621451753,31.516345040741,1.97768501577619e-08,1.02708521663385e-06
6,DEFA6,5.83063912579642,1.99650587401449,48.3994477141293,3.47666095387421e-12,5.57781220215152e-10
7,MYL1,-5.67926564753197,4.41533007159199,22.2129006175225,2.44028620323755e-06,6.03512678800687e-05
8,NRAP,-5.33776628872933,4.33505250785535,57.880518947492,2.78531927722666e-14,7.92170123527599e-12
9,GLRA3,5.22423460596347,0.0304019408909938,190.892033108586,2.03058804202485e-43,1.27053893789495e-39
10,ACTA1,-5.06176325179152,6.04658382868719,66.5798043119115,3.36011063128411e-16,2.33602357999385e-13
11,XIRP2,-5.03076275962277,3.33867563017284,20.3157683805904,6.56572522072677e-06,0.000134254061131005
12,TRDN,-4.8568975421832,2.77411397155874,44.7490844657333,2.23971647748793e-11,2.74782470581216e-09
13,SLN,-4.80159093926203,2.33497356793071,38.8435299929905,4.59173313231609e-10,3.68339412934638e-08
14,TCAP,-4.78984182212106,4.86799736064852,62.9441442593868,2.12652333131122e-15,8.87043765600954e-13
15,PNMA5,-4.7175770785133,1.47448713345057,29.6792727964437,5.09769812391413e-08,2.26214873484615e-06
16,TNNT1,-4.44053962162712,5.29360802677412,39.6913195638716,2.97444605929755e-10,2.54946698534586e-08
17,CA3,-4.42819626543229,4.38361117048959,58.1524613564279,2.42570506672442e-14,7.22744600118795e-12
18,ACTN2,-4.40691619751065,4.32314396110469,60.717966341031,6.58662540106053e-15,2.40432754232146e-12
19,SYNPO2L,-4.37771944995084,1.5746719193196,61.0782870344402,5.48497435196201e-15,2.14496778251414e-12
20,CKM,-4.31119256572777,4.86679606776829,64.0207939175754,1.23112914121261e-15,7.00288639687935e-13
21,MYOZ2,-4.11546617992348,1.32612781941911,55.0854973115055,1.15399254097515e-13,2.91975624443867e-11
22,MYH2,-4.02967785628721,1.70654247679053,35.4942992427912,2.5579811573607e-09,1.65137573140993e-07
23,TNNC1,-3.99651184767422,4.67606758942932,63.68836471947,1.45742849786455e-15,7.25211315447896e-13
24,LY6L,3.94303975415724,1.85935538176499,35.3354713809102,2.77531133439316e-09,1.7719513284998e-07
25,LMOD2,-3.78462416626063,2.3300408918745,22.5863841344916,2.00903396294561e-06,5.194432027335e-05
26,MYL3,-3.71513458744609,2.66399478701029,63.2350940651182,1.83450658078169e-15,8.19893405425075e-13
27,KLHL41,-3.66513397287927,3.02646201525902,63.6227991597661,1.50675197392083e-15,7.25211315447896e-13
28,SEMG1,-3.64419871132034,5.11756575441891,21.9840174036541,2.74930399236194e-06,6.54083463125804e-05
29,ANKRD1,-3.63255929962706,2.21931147665982,51.9243425790823,5.76808669849588e-13,1.16422317653189e-10
30,XIRP1,-3.6229547067847,2.42772776771589,37.232614870784,1.04845521195485e-09,7.71786383670765e-08
31,MYOM3,-3.38459074013383,2.05609940279427,50.4579512259661,1.21745545397169e-12,2.24047611044144e-10
32,TRIM63,-3.1780482417495,1.36036514680918,45.4070312234616,1.60058742099836e-11,2.04385214146668e-09
33,CASQ1,-3.06435339905245,2.40469165891157,60.6217044656721,6.9167165992946e-15,2.40432754232146e-12
34,TNNI1,-3.03914896498355,4.95851665933547,56.5490721594115,5.48132438922668e-14,1.49115855232136e-11
